epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.4113,2.18509,2.90384,2.13689,0.4994,0.54158,0.53701,0.30767,1.27735,2.36331,1.33187,4e-05,4e-05,4e-05
2,42.1992,1.71573,1.85845,1.75155,0.61081,0.74286,0.73324,0.48336,1.08492,1.51885,1.13214,9.99756e-05,9.99756e-05,9.99756e-05
3,63.5991,1.64704,1.67282,1.50175,0.6534,0.59266,0.66434,0.40038,1.25119,1.73266,1.19084,0.000159844,0.000159844,0.000159844
4,84.6358,1.47322,1.39782,1.43183,0.81882,0.82857,0.82409,0.49486,1.37664,1.71753,1.24789,0.000219517,0.000219517,0.000219517
5,105.684,1.52852,1.43677,1.47168,0.89021,0.4636,0.68279,0.35745,1.61003,1.90572,1.30354,0.000278907,0.000278907,0.000278907
6,126.867,1.64231,1.64615,1.58431,0.7361,0.74286,0.75606,0.33768,1.99832,2.03623,1.49442,0.000337928,0.000337928,0.000337928
7,148.227,1.51965,1.35613,1.40824,0.84747,0.71429,0.76605,0.45064,1.6141,2.09623,1.43294,0.000396493,0.000396493,0.000396493
8,169.165,1.63352,1.45423,1.52929,0.6588,0.62857,0.63515,0.37676,1.53518,2.64894,1.37318,0.000454516,0.000454516,0.000454516
9,190.514,1.39327,1.31658,1.41628,0.74623,0.6,0.64111,0.40664,1.50123,1.74115,1.36709,0.000511913,0.000511913,0.000511913
10,211.424,1.48733,1.21404,1.45448,0.91161,0.68571,0.76941,0.45853,1.49042,1.50192,1.35248,0.0005686,0.0005686,0.0005686
11,232.433,1.40482,1.10856,1.35621,0.81562,0.68571,0.74638,0.41346,1.58721,2.4056,1.44402,0.000624495,0.000624495,0.000624495
12,253.663,1.44654,1.09329,1.35855,0.9153,0.61782,0.75318,0.37669,1.7454,2.14446,1.52325,0.000679515,0.000679515,0.000679515
13,274.879,1.54759,1.22505,1.5051,0.83716,0.58781,0.65311,0.33292,1.74658,1.72594,1.55318,0.000733582,0.000733582,0.000733582
14,297.638,1.3267,1.20284,1.35382,0.90841,0.57143,0.66501,0.33462,1.7465,1.76621,1.51046,0.000786617,0.000786617,0.000786617
15,320.104,1.35808,1.18868,1.31869,0.84149,0.68571,0.7276,0.31607,1.8911,1.86596,1.6109,0.000838543,0.000838543,0.000838543
16,341.844,1.42913,1.24756,1.4118,0.72742,0.68571,0.71428,0.29056,1.8902,1.76375,1.69513,0.000889285,0.000889285,0.000889285
17,362.817,1.37271,1.23648,1.31717,0.64292,0.56601,0.53313,0.21395,2.08704,1.95466,1.88309,0.000938772,0.000938772,0.000938772
18,383.756,1.44314,1.2982,1.52216,0.49901,0.56922,0.50652,0.24808,1.95617,1.88319,1.74386,0.000986931,0.000986931,0.000986931
19,404.76,1.5812,1.25661,1.37971,0.2648,0.42857,0.26447,0.15601,1.76196,4.52839,1.63616,0.0010337,0.0010337,0.0010337
